	0
14901.LAMI.RD304.D16.C1	91
14901.LAMI.RD306.D18.C1	205
14901.LAMI.RD314.D0.C3	54
14901.LAMI.RD306.D14.C3	188
14901.LAMI.RD310.D18.C2	46
14901.LAMI.RD004.D0.C1	209
14901.LAMI.RD017.COSM2	224
14901.LAMI.RD014.D0.C1	179
14901.LAMI.RD001.D0.C1	231
14901.LAMI.RD001.D14.C1	260
14901.LAMI.RD306.D11.C1	159
14901.LAMI.RD001.D0.C2	280
14901.LAMI.RD306.D28.C1	209
14901.LAMI.RD308.D21.C1	66
14901.LAMI.RD306.D21.C3	219
14901.KATHARO.LOREAL.2.11H.26	45
14901.LAMI.CTL.10	72
14901.LAMI.CTL.29	63
14901.LAMI.RD001.D28.C2	267
14901.LAMI.RD304.D0.C2	117
14901.LAMI.RD305.D4.C2	32
14901.BLANK.LOREAL.1.1A	93
14901.KATHARO.LOREAL.2.11F.640	31
14901.LAMI.RD310.D14.C2	51
14901.LAMI.RD305.D28.C1	46
14901.LAMI.RD001.COSM2	100
14901.LAMI.RD001.D28.C1	280
14901.LAMI.RD304.D9.C2	159
14901.LAMI.RD306.D18.C2	138
14901.LAMI.RD306.D28.C2	148
14901.LAMI.RD306.D28.C3	146
14901.LAMI.RD306.D21.C2	157
14901.LAMI.RD313.D0.C1	84
14901.BLANK.LOREAL.1.1D	114
14901.LAMI.RD304.D11.C1	115
14901.LAMI.RD308.D16.C1	171
14901.LAMI.RD319.D23.C1	48
14901.KATHARO.LOREAL.1.12H.26	72
14901.KATHARO.LOREAL.2.11E.3200	16
14901.KATHARO.LOREAL.3.9E.3200	23
14901.KATHARO.LOREAL.3.9F.640	36
14901.KATHARO.LOREAL.3.9G.128	38
14901.KATHARO.LOREAL.4.10F.640	37
14901.BLANK.LOREAL.2.2D	58
14901.BLANK.LOREAL.3.3A	84
14901.BLANK.LOREAL.3.3G	114
14901.BLANK.LOREAL.4.12D	81
14901.LAMI.RD001.D14.C2	337
14901.LAMI.RD006.D14.C1	195
14901.LAMI.RD006.D14.C2	177
14901.LAMI.RD018.D0.C1	46
14901.LAMI.RD304.D21.C2	102
14901.LAMI.RD306.D0.C3	100
14901.LAMI.RD308.D0.C1	79
14901.LAMI.RD313.D7.C3	86
14901.BLANK.LOREAL.4.4D	78
14901.BLANK.LOREAL.4.4F	56
14901.LAMI.RD308.D18.C1	117
14901.LAMI.RD318.D14.C2	37
14901.LAMI.RD305.D0.C3	43
14901.LAMI.RD308.D0.C2	37
14901.LAMI.RD310.D7.C2	56
14901.LAMI.RD304.D11.C2	134
14901.LAMI.RD314.D7.C2	61
14901.LAMI.RD002.D14.C1	115
14901.LAMI.RD014.D28.C1	205
14901.KATHARO.LOREAL.1.12F.640	82
14901.LAMI.CTL.7	66
14901.LAMI.RD305.D14.C1	41
14901.LAMI.RD004.D0.C2	197
14901.LAMI.RD319.D21.C2	40
14901.LAMI.RD304.D21.C3	68
14901.LAMI.CTL.2	158
14901.LAMI.CTL.42	191
14901.LAMI.RD313.D16.C2	119
14901.LAMI.RD002.D0.C2	151
14901.LAMI.RD004.D28.C2	265
14901.LAMI.RD007.D14.C2	85
14901.LAMI.RD011.D0.C2	85
14901.LAMI.RD014.D0.C2	204
14901.LAMI.RD014.D14.C2	105
14901.LAMI.RD017.D0.C2	34
14901.LAMI.RD306.D11.C2	150
14901.LAMI.RD306.D14.C1	234
14901.LAMI.RD306.D14.C2	163
14901.LAMI.RD306.D16.C1	184
14901.LAMI.RD306.D7.C2	166
14901.LAMI.RD308.D21.C3	146
14901.LAMI.RD313.D0.C2	46
