effect_size	metric	column	group_1	group_2
2.8366917959103426	cohens_d	zone	Lesional	not applicable
2.5208655531624977	cohens_d	scientific_name	human skin metagenome	metagenome
2.517408617141335	cohens_d	c_zone	C3	not applicable
2.4825750131221476	cohens_d	scientific_name	Lysobacter sp. OAE881	metagenome
2.480652326866334	cohens_d	env_feature	human-associated habitat	research facility
2.480652326866334	cohens_d	env_package	human-skin	misc environment
2.480652326866334	cohens_d	surface_area	4	not applicable
2.480652326866334	cohens_d	surface_area_units	not applicable	sq cm
2.455540193347646	cohens_d	empo_1	Free-living	Host-associated
2.455540193347646	cohens_d	empo_2	Free-living (non-saline)	Host-associated (non-saline)
2.455540193347646	cohens_d	empo_3	Animal (non-saline)	Solid (non-saline)
2.455540193347646	cohens_d	empo_4	Animal surface (non-saline)	Surface (non-saline)
2.455540193347646	cohens_d	sample_type	cosmetic	skin
2.455540193347646	cohens_d	env_material	anthropogenic environmental material	sebum material
2.455540193347646	cohens_d	qiita_sample_type	cosmetic cream	skin of face
2.40895010963723	cohens_d	sample_type	control	skin
2.40895010963723	cohens_d	qiita_sample_type	control	skin of face
2.3108000348806925	cohens_d	c_zone	C2	not applicable
2.276646440742849	cohens_d	c_zone	C1	not applicable
2.210820972926423	cohens_d	empo_1	Control	Host-associated
2.166417689170005	cohens_d	empo_2	Host-associated (non-saline)	Negative
2.166417689170005	cohens_d	empo_3	Animal (non-saline)	Sterile water blank
2.166417689170005	cohens_d	empo_4	Animal surface (non-saline)	Sterile water blank
2.166417689170005	cohens_d	env_material	sebum material	sterile water
2.02527034925606	cohens_d	zone	Non-lesional	not applicable
1.9825782775891576	cohens_d	sample_type	control blank	skin
1.9825782775891576	cohens_d	qiita_sample_type	control blank	skin of face
1.9282802994528507	cohens_d	empo_2	Negative	Positive
1.9282802994528507	cohens_d	empo_3	Single strain	Sterile water blank
1.9282802994528507	cohens_d	empo_4	Single strain	Sterile water blank
1.9282802994528507	cohens_d	env_material	cell culture	sterile water
1.9062786066056083	cohens_d	xebec_sampling_depth	q1	q3
1.7513537629321356	cohens_d	elevation	78	not provided
1.6575463177979282	cohens_d	empo_2	Free-living (non-saline)	Positive
1.6575463177979282	cohens_d	empo_3	Single strain	Solid (non-saline)
1.6575463177979282	cohens_d	empo_4	Single strain	Surface (non-saline)
1.6575463177979282	cohens_d	sample_type	control katharoseq	cosmetic
1.6575463177979282	cohens_d	env_material	anthropogenic environmental material	cell culture
1.6575463177979282	cohens_d	qiita_sample_type	control positive	cosmetic cream
1.6325827103663602	cohens_d	sample_type	control	control katharoseq
1.6325827103663602	cohens_d	qiita_sample_type	control	control positive
1.5232090768564799	cohens_d	sample_type	control blank	control katharoseq
1.5232090768564799	cohens_d	qiita_sample_type	control blank	control positive
1.4409944525776721	cohens_d	elevation	193	78
1.1929364577989443	cohens_d	xebec_sampling_depth	q1	q4
1.154018005613084	cohens_d	country	France	USA:CA:San Diego
1.154018005613084	cohens_d	geo_loc_name	France	USA:CA:San Diego
1.154018005613084	cohens_d	collection_date	2023	2023-04-25
1.154018005613084	cohens_d	collection_timestamp	2023	2023-04-25
1.1032348227679665	cohens_d	xebec_sampling_depth	q1	q2
0.8582638296176883	cohens_d	sample_type	control	control blank
0.8582638296176883	cohens_d	qiita_sample_type	control	control blank
0.6402670096168792	cohens_d	sample_type	control blank	cosmetic
0.6402670096168792	cohens_d	qiita_sample_type	control blank	cosmetic cream
0.6155293766688378	cohens_d	xebec_sampling_depth	q2	q3
0.46478528422119186	cohens_d	empo_2	Free-living (non-saline)	Negative
0.46478528422119186	cohens_d	empo_3	Solid (non-saline)	Sterile water blank
0.46478528422119186	cohens_d	empo_4	Sterile water blank	Surface (non-saline)
0.46478528422119186	cohens_d	env_material	anthropogenic environmental material	sterile water
0.44695836889576723	cohens_d	zone	Lesional	Non-lesional
0.3795953074685182	cohens_d	katharoseq_strain	Lysobacter sp. OAE881	not applicable
0.3795953074685182	cohens_d	katharoseq_plate_number	5	not applicable
0.3795953074685182	cohens_d	katharoseq_aliquot_volume_ul	200	not applicable
0.3795953074685182	cohens_d	katharoseq_batch_information	12/16/2022, 0.5B lysobacter cells in 50mL of 1xDPBS+0.5uM CCCP + 25% glycerol	not applicable
0.3695293423507222	cohens_d	c_zone	C1	C3
0.3650308173114445	cohens_d	xebec_sampling_depth	q2	q4
0.3339581096869017	cohens_d	c_zone	C2	C3
0.2429453625740666	cohens_d	elevation	193	not provided
0.232408791949342	cohens_d	empo_2	Host-associated (non-saline)	Positive
0.232408791949342	cohens_d	empo_3	Animal (non-saline)	Single strain
0.232408791949342	cohens_d	empo_4	Animal surface (non-saline)	Single strain
0.232408791949342	cohens_d	sample_type	control katharoseq	skin
0.232408791949342	cohens_d	env_material	cell culture	sebum material
0.232408791949342	cohens_d	scientific_name	Lysobacter sp. OAE881	human skin metagenome
0.232408791949342	cohens_d	qiita_sample_type	control positive	skin of face
0.14498357834191494	cohens_d	empo_1	Control	Free-living
0.1355554409525491	cohens_d	xebec_sampling_depth	q3	q4
0.050589419134264874	cohens_d	sample_type	control	cosmetic
0.050589419134264874	cohens_d	qiita_sample_type	control	cosmetic cream
0.03581676602562501	cohens_d	c_zone	C1	C2
