phylogenetic	diversity_metric	effect_size	metric	column	group_1	group_2
non_phylo	observed_otus	2.999254473360492	cohens_d	sample_type	control	control katharoseq
non_phylo	observed_otus	2.999254473360492	cohens_d	qiita_sample_type	control	control positive
non_phylo	observed_otus	2.670223045857623	cohens_d	empo_2	Negative	Positive
non_phylo	observed_otus	2.670223045857623	cohens_d	empo_3	Single strain	Sterile water blank
non_phylo	observed_otus	2.670223045857623	cohens_d	empo_4	Single strain	Sterile water blank
non_phylo	observed_otus	2.670223045857623	cohens_d	env_material	cell culture	sterile water
non_phylo	observed_otus	2.6540634431288943	cohens_d	sample_type	control blank	control katharoseq
non_phylo	observed_otus	2.6540634431288943	cohens_d	qiita_sample_type	control blank	control positive
non_phylo	observed_otus	1.733169623481509	cohens_d	scientific_name	Lysobacter sp. OAE881	metagenome
non_phylo	observed_otus	1.4741799083291354	cohens_d	empo_2	Host-associated (non-saline)	Positive
non_phylo	observed_otus	1.4741799083291354	cohens_d	empo_3	Animal (non-saline)	Single strain
non_phylo	observed_otus	1.4741799083291354	cohens_d	empo_4	Animal surface (non-saline)	Single strain
non_phylo	observed_otus	1.4741799083291354	cohens_d	sample_type	control katharoseq	skin
non_phylo	observed_otus	1.4741799083291354	cohens_d	env_material	cell culture	sebum material
non_phylo	observed_otus	1.4741799083291354	cohens_d	scientific_name	Lysobacter sp. OAE881	human skin metagenome
non_phylo	observed_otus	1.4741799083291354	cohens_d	qiita_sample_type	control positive	skin of face
non_phylo	observed_otus	1.4567777339741472	cohens_d	katharoseq_strain	Lysobacter sp. OAE881	not applicable
non_phylo	observed_otus	1.4567777339741472	cohens_d	katharoseq_plate_number	5	not applicable
non_phylo	observed_otus	1.4567777339741472	cohens_d	katharoseq_aliquot_volume_ul	200	not applicable
non_phylo	observed_otus	1.4567777339741472	cohens_d	katharoseq_batch_information	12/16/2022, 0.5B lysobacter cells in 50mL of 1xDPBS+0.5uM CCCP + 25% glycerol	not applicable
non_phylo	observed_otus	1.3664551590629483	cohens_d	elevation	193	not provided
non_phylo	observed_otus	1.1527021317347097	cohens_d	empo_2	Free-living (non-saline)	Positive
non_phylo	observed_otus	1.1527021317347097	cohens_d	empo_3	Single strain	Solid (non-saline)
non_phylo	observed_otus	1.1527021317347097	cohens_d	empo_4	Single strain	Surface (non-saline)
non_phylo	observed_otus	1.1527021317347097	cohens_d	sample_type	control katharoseq	cosmetic
non_phylo	observed_otus	1.1527021317347097	cohens_d	env_material	anthropogenic environmental material	cell culture
non_phylo	observed_otus	1.1527021317347097	cohens_d	qiita_sample_type	control positive	cosmetic cream
