SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00005883855	67	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.997678	3961000.0	0	0.839914	6	9.91821e-05	118.086	1	temp/spectra_filtered.mgf67	1	L-VALINE - 70.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	118.086	0.0	1	72-18-4	N/A	CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	N/A	1	Positive	GNPS-LIBRARY	118.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H11NO2	KZSNJWFQEVHDMF-BYPYZUCNSA-N	KZSNJWFQEVHDMF	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883855
CCMSLIB00012249715	2239	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.995422	9930000.0	0	2.79609	7	0.00050354	180.087	1	temp/spectra_filtered.mgf2239	1	D-Lyxo-Hex-2-ulo-Pyranose	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	[M-H2O+NH4]+	180.087	180.063	1	N/A	N/A	OCC1(O)OCC(O)C(O)C1O	"""InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5+,6?/m1/s1"""	LKDRXBCSQODPBY-OEXCPVAWSA-N	1	Positive	PRIVATE-LIB	180.087	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H12O6	LKDRXBCSQODPBY-UHFFFAOYSA-N	LKDRXBCSQODPBY	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012249715
CCMSLIB00012716670	23882	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.992183	2779000.0	0	1.79369	8	0.000488281	272.221	1	temp/spectra_filtered.mgf23882	1	Candidate Alanine/Sarcosine-C12:0 (delta mass:182.1662)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	272.221	272.221	0	N/A	N/A	N/A	N/A	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	272.221	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012716670
CCMSLIB00005883686	1368	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.992042	12116000.0	0	2.31015	5	0.000305176	132.102	1	temp/spectra_filtered.mgf1368	1	ISOLEUCINE - 60.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	132.102	0.0	1	73-32-5	N/A	CC[C@H](C)[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	N/A	1	Positive	GNPS-LIBRARY	132.102	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H13NO2	AGPKZVBTJJNPAG-WHFBIAKZSA-N	AGPKZVBTJJNPAG	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005883686
CCMSLIB00005884056	1974	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.991977	2339000.0	0	0.0	5	0.0	146.081	1	temp/spectra_filtered.mgf1974	1	4-ACETAMIDOBUTANOATE - 50.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	146.081	0.0	1	3025-96-5	N/A	CC(=O)NCCCC(O)=O	InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	N/A	1	Positive	GNPS-LIBRARY	146.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H11NO3	UZTFMUBKZQVKLK-UHFFFAOYSA-N	UZTFMUBKZQVKLK	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Fatty Acids and Conjugates	Unsaturated fatty acids	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005884056
CCMSLIB00012252332	26200	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.991589	410200.0	0	1.10869	7	0.000305176	275.258	1	temp/spectra_filtered.mgf26200	1	300762-25-8	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	[M+H]+	275.258	274.251	1	N/A	N/A	CC(C)(CO)CCCCOCCCCC(C)(C)CO	"""InChI=1S/C16H34O3/c1-15(2,13-17)9-5-7-11-19-12-8-6-10-16(3,4)14-18/h17-18H,5-14H2,1-4H3"""	ULDZFCNXQRYRSI-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	275.258	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C16H34O3	ULDZFCNXQRYRSI-UHFFFAOYSA-N	ULDZFCNXQRYRSI	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols			Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012252332
CCMSLIB00003139223	1119	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.990477	7603000.0	0	6.03373	6	0.00109863	182.081	1	temp/spectra_filtered.mgf1119	1	Spectral Match to L-Tyrosine from NIST14	ESI	qTof	Isolated	Data from James McKerrow	Data deposited by lamccall	M+H	182.082	181.074	1	60184	N/A	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	182.082	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139223
CCMSLIB00012272376	27216	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.989861	192700.0	0	7.41501	5	0.00488281	658.509	1	temp/spectra_filtered.mgf27216	1	aphidicolin	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	[2M-2H2O+NH4]+	658.504	338.246	1	N/A	N/A	CC1(CO)C(O)CCC2(C)C1CCC1CC3CC12CCC3(O)CO	"""InChI=1S/C20H34O4/c1-17(11-21)15-4-3-13-9-14-10-19(13,7-8-20(14,24)12-22)18(15,2)6-5-16(17)23/h13-16,21-24H,3-12H2,1-2H3/t13-,14+,15-,16+,17-,18-,19-,20-/m0/s1"""	NOFOAYPPHIUXJR-APNQCZIXSA-N	1	Positive	PRIVATE-LIB	658.504	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C20H34O4	NOFOAYPPHIUXJR-UHFFFAOYSA-N	NOFOAYPPHIUXJR	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids	Aphidicolane diterpenoids|Tetracyclic diterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012272376
CCMSLIB00005772811	14954	spectra_filtered.mgf	MASSBANK.mgf	0.98971	14173000.0	0	2.02521	6	0.000518799	256.169	1	temp/spectra_filtered.mgf14954	1	Massbank:AU267103 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine	ESI	qTof	Isolated	Massbank	Massbank	M+H	256.17	0.0	1	58-73-1	N/A	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1	1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3	N/A	3	Positive	MASSBANK	256.17	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C17H21NO	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	ZZVUWRFHKOJYTH	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	Pseudoalkaloids	Phenylalanine-derived alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005772811
CCMSLIB00012256894	15686	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.989292	298000.0	0	3.04912	6	0.000411987	135.117	1	temp/spectra_filtered.mgf15686	1	18680-27-8	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	[M-2H2O+H]+	135.117	170.131	1	N/A	N/A	CC1(C)C2CC(O)C(C)(O)C1C2	"""InChI=1S/C10H18O2/c1-9(2)6-4-7(9)10(3,12)8(11)5-6/h6-8,11-12H,4-5H2,1-3H3/t6-,7-,8+,10-/m0/s1"""	MOILFCKRQFQVFS-OORONAJNSA-N	1	Positive	PRIVATE-LIB	135.117	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H18O2	MOILFCKRQFQVFS-UHFFFAOYSA-N	MOILFCKRQFQVFS	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Monoterpenoids	Pinane monoterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012256894
