featureid	 g__Staphylococcus	 g__uncultured	 g__Lawsonella	 g__Streptococcus	 g__Acinetobacter	 g__Micrococcus	 g__Lactobacillus	 g__Cutibacterium	 g__Rothia
Urocanic acid	1.2735125185366323	-0.1627005579139455	-0.5172673484656826	0.5450964410924681	0.36765516781182794	0.310159866818071	-0.26845129533501244	0.13144610679517724	0.07458194016119285
Nicotine	-0.6186828583051069	-0.458008494894682	-0.34226171275979056	0.5036764068635993	-1.9597740960530712	-0.6474329908447378	0.008865559682496693	-2.750998360458637	0.6904345654453088
Phenylalanine	0.6920726086961524	1.0617803242419515	0.12766397428732668	2.0672894930488184	2.99340719633004	-0.1690473859565273	2.0083000571251564	0.010885451535600638	-2.116243621764827
D-TRYPTOPHAN	-0.6327122360510613	-0.035719871958921845	-0.5007002364065971	0.09651675526240644	0.3416836182422788	-1.227926422571387	1.4270220802323974	-1.3081530761606122	-1.5752603788262094
Glutamyltyrosine	0.4164239911412009	1.0986886937175333	-0.013892542985065925	2.5416405125188426	2.3665714178302752	-0.862519301359469	3.1917653546606566	-1.7415259369907379	-2.1639149380292078
C19H36O4 Fatty acid	0.951546366331893	0.7766866510217905	0.23753887213885483	1.4803329395804565	3.053279371449231	0.799052551184636	-0.08575993340412169	1.764799192429447	-1.5287693162737426
C19H38O4 Fatty acid	-0.28200928108419476	-1.6792024875719647	0.41704043954631553	-2.594322787933706	-4.431182518908821	2.4181931833796417	-6.585975858159475	2.063585070055774	4.906306559634895
C19H22O4 Linear diarylheptanoids	-0.11225288315292659	0.40812791364609463	-0.0630232222080559	2.0042898791394954	-0.513340950373336	-0.8854332870080484	2.1634019093357235	-3.401006305529616	-0.11068974811039889
N-Oleoylethanolamine	-1.6924397532653332	-0.6003861099887369	-0.24157498532575172	-4.488381662192225	-0.6070050785272848	-1.4993847614439055	1.1580040907464733	2.2121136550775238	-1.0817916499022313
Gln-C14:0	-0.19005566255539308	-0.29899134599213756	0.7010330423257815	-2.4200251155749584	-1.2150928464371602	1.034565401890531	-1.6739348886250272	2.723459034346786	2.0238487508600995
Sorbitane Monooleate	0.1945971897081369	-0.11027471430698182	0.19544371985266484	0.26388713819480336	-0.3962012813639785	0.7297731459111947	-1.343237076259266	0.2953951688992936	0.881497836805121
